Park Name,Year,Cause of Death
Pictured Rocks National Lakeshore,2013,1
Point Reyes National Seashore,2021,1
Saint Croix National Scenic Riverway,2019,1
Saint Croix National Scenic Riverway,2021,1
Point Reyes National Seashore,2018,1
Saint Croix National Scenic Riverway,2022,1
San Antonio Missions National Historical Park,2017,1
San Antonio Missions National Historical Park,2019,1
San Francisco Maritime National Historical Park,2014,1
San Francisco Maritime National Historical Park,2015,1
San Francisco Maritime National Historical Park,2019,1
San Juan Island National Historical Park,2018,1
Piscataway Park,2022,1
Piscataway Park,2014,1
Pinnacles National Park,2022,1
Santa Monica Mountains National Recreation Area,2010,1
Pinnacles National Park,2019,1
Pinnacles National Park,2014,1
Pinnacles National Park,2008,1
Pictured Rocks National Lakeshore,2023,1
Pictured Rocks National Lakeshore,2019,1
Pictured Rocks National Lakeshore,2018,1
Point Reyes National Seashore,2022,1
President's Park (White House),2019,1
Saint Croix National Scenic Riverway,2011,1
Prince William Forest Park,2021,1
Redwood National and State Parks,2020,1
Redwood National and State Parks,2022,1
Richmond National Battlefield Park,2009,1
Richmond National Battlefield Park,2022,1
Richmond National Battlefield Park,2023,1
Rock Creek Park,2015,1
Redwood National and State Parks,2010,1
Rocky Mountain National Park,2007,1
Redwood National and State Parks,2007,1
Prince William Forest,2011,1
Saint Croix National Scenic Riverway,2009,1
Rocky Mountain National Park,2022,1
Presidio of San Francisco,2017,1
Saguaro National Park,2009,1
National Capital Parks-East,2019,1
Saguaro National Park,2015,1
Saguaro National Park,2016,1
Saguaro National Park,2017,1
Saguaro National Park,2021,1
Saint Croix Island International Historic Site,2015,1
Pictured Rocks National Lakeshore,2016,1
Petroglyph National Monument,2020,1
Virgin Islands National Park,2010,1
Petersburg National Battlefield,2022,1
Shenandoah National Park,2019,1
Shenandoah National Park,2023,1
Sleeping Bear Dunes National Lakeshore,2009,1
Sleeping Bear Dunes National Lakeshore,2011,1
Sleeping Bear Dunes National Lakeshore,2012,1
Sleeping Bear Dunes National Lakeshore,2013,1
Sleeping Bear Dunes National Lakeshore,2022,1
Sleeping Bear DunesNational Lakeshore,2015,1
Statue Of Liberty National Monument,2018,1
Suitland,2014,1
