,Park Name,Year,Cause of Death
653,Glen Canyon National Recreation Area,2023,2
654,Glacier National Park,2022,2
655,Glacier National Park,2020,2
656,Glacier National Park,2018,2
657,Glacier National Park,2012,2
658,Glacier National Park,2009,2
659,Glacier National Park,2008,2
660,Glacier Bay National Park & Preserve,2016,2
661,Amistad National Recreation Area,2008,2
662,Gettysburg National Military Park,2019,2
663,Redwood National and State Parks,2021,2
664,George Washington Memorial Parkway,2014,2
665,Acadia National Park,2014,2
666,Acadia National Park,2017,2
667,Acadia National Park,2022,2
668,George Washington Birthplace,2013,2
669,Arches National Park,2018,2
670,Zion National Park,2007,2
671,Saguaro National Park,2008,2
672,Denali National Park & Preserve,2008,2
673,Baltimore-Washington Parkway,2007,2
674,Arches National Park,2023,2
675,Baltimore-Washington Parkway,2009,2
676,Baltimore-Washington Parkway,2014,2
677,Bandelier National Monument,2016,2
678,Yellowstone National Park,2012,2
679,Denali National Park & Preserve,2021,2
680,San Antonio Missions National Historical Park,2015,2
681,Saint Croix National Scenic Riverway,2018,2
682,Delaware Water Gap National Recreation Area,2022,2
683,Big Bend National Park,2018,2
684,Delaware Water Gap National Recreation Area,2014,2
685,Delaware Water Gap National Recreation Area,2012,2
686,Delaware Water Gap National Recreation Area,2010,2
687,Big Bend National Park,2020,2
688,Yellowstone National Park,2011,2
689,Buffalo National River,2011,2
690,Baltimore-Washington Parkway,2008,2
691,Dinosaur National Monument,2016,2
692,Saint Croix Island International Historic Site,2013,2
693,Yosemite National Park,2008,2
694,Assateague Island National Seashore,2021,2
695,Buffalo National River,2013,2
696,Dinosaur National Monument,2017,2
697,Everglades National Park,2016,2
698,Saguaro National Park,2010,2
699,Saint Croix Island International Historic Site,2012,2
700,Canaveral National Seashore,2019,2
701,Badlands National Park,2015,2
702,Dry Tortugas National Park,2015,2
703,Assateague Island National Seashore,2016,2
704,Saint Croix National Scenic Riverway,2017,2
705,Assateague Island National Seashore,2018,2
706,Virgin Islands National Park,2014,1
707,Voyageurs National Park,2013,1
708,North Cascades National Park,2012,1
709,Virgin Islands National Park,2012,1
710,Voyageurs National Park,2009,1
711,Obed Wild & Scenic River,2017,1
712,North Cascades National Park,2013,1
713,Virgin Islands National Park,2013,1
714,Obed Wild & Scenic River,2015,1
715,North Cascades National Park,2015,1
716,Redwood National and State Parks,2012,1
717,North Cascades National Park,2011,1
718,Yellowstone National Park,2009,1
719,Wind Cave National Park,2012,1
720,Wind Cave National Park,2014,1
721,Wind Cave National Park,2016,1
722,Wrangell - St Elias National Park & Reserve,2014,1
723,Wrangell - St Elias National Park & Reserve,2020,1
724,Wupatki National Monument,2022,1
725,Yellowstone National Park,2021,1
726,National Mall & Memorial Parks,2021,1
727,Yellowstone National Park,2022,1
728,Yellowstone National Park,2023,1
729,Yorktown Battlefield Part of Colonial National Historical Park,2023,1
